Illumina V2 ID,Affy 220K ID
BASS10_B7_F03_186,AX-87274611
BASS10_B7_F03_268,AX-87283344
BASS110_B6A_E06_264,AX-87387779
BASS110_B7_E03_92,AX-87274553
BASS111_B7_D03_407,AX-87484806
BASS111_B7_D09_174,AX-87318155
BASS117_B7_E04_554,AX-87323053
BASS117_B7_E04_685,AX-87766075
BASS119_B7_A09_188,AX-87747090
BASS119_B7_A09_382,AX-87144591
BASS119_B7_A09_482,AX-87790469
BASS12_B7_B06_856,AX-86970758
BASS12_B7_B06_868,AX-87375799
BASS12_B7_G07_130,AX-87405229
BASS122_B7_C07_415,AX-87548781
BASS127_B7_A09_532,AX-87616467
BASS133_B7_F01_78,AX-87787091
BASS133_B7_H09_429,AX-87473638
BASS138_B7_E11_602,AX-87183007
BASS141_B7_B10_108,AX-87811995
BASS141_B7_B10_270,AX-86954583
BASS18_B7_C05_920,AX-87345116
BASS19_B7_G09_514,AX-87094161
GCR_cBin24739_Ctg1_250,AX-87112048
ESTNV_22917_549,AX-87553595
GCR_rBin1856_Ctg1_222,AX-87027576
GCR_cBin18412_Ctg1_155,AX-87441722
GCR_rBin15703_Ctg1_214,AX-87812081
GCR_cBin44381_Ctg1_171,AX-87055146
ESTNV_17837_103,AX-86906416
ESTNV_22407_388,AX-87457635
GCR_cBin30297_Ctg1_89,AX-87095943
ESTNV_35473_2001,AX-87027716
BASS15_B7_D02_365,AX-86926547
GCR_cBin48578_Ctg1_194,AX-86947646
ESTNV_26621_493,AX-86929005
ESTV_8181_185,AX-87525667
ESTNV_27736_308,AX-87230999
GCR_cBin49296_Ctg1_187,AX-87027079
GCR_cBin25177_Ctg1_214,AX-87451019
ESTNV_34268_275,AX-87047112
ESTNV_27431_454,AX-87119116
GCR_cBin11397_Ctg1_153,AX-87550513
ESTNV_32268_419,AX-87579023
ESTNV_22696_678,AX-86928159
ESTV_15373_465,AX-87151245
GCR_cBin1305_Ctg1_324,AX-87310880
ESTV_15360_434,AX-87786646
ESTNV_36704_1199,AX-87062836
ESTNV_27323_159,AX-87261931
ESTNV_36642_418,AX-87711216
ESTV_14800_360,AX-87091664
ESTNV_33335_64,AX-87524893
GCR_cBin27619_Ctg1_193,AX-87085052
GCR_cBin1402_Ctg1_336,AX-87096450
ESTNV_29403_553,AX-87062904
ESTNV_28229_1264,AX-87856917
